"PRcode","PRdguid","PRname","PRpop_2021","PRtdwell_2021","PRurdwell_2021","PRpop_2016","PRpop_2016a","PRtdwell_2016a","PRurdwell_2016a","PRarea","PRadj_2016","PRir_2021","PRir_2016"
"10","2021A000210","Newfoundland and Labrador",510550,269184,223253,519716,519716,265739,218673,"358170.3732","0","0","0"
"11","2021A000211","Prince Edward Island",154331,74934,64570,142907,142907,71119,59472,"5681.179","0","0","0"
"12","2021A000212","Nova Scotia",969383,476007,428228,923598,923598,458568,401990,"52824.7084","0","0","0"
"13","2021A000213","New Brunswick",775610,366146,337651,747101,747101,359721,319773,"71248.4981","0","0","0"
"24","2021A000224","Quebec",8501833,4050164,3749035,8164361,8164361,3858943,3531663,"1298599.7477","0","1","1"
"35","2021A000235","Ontario",14223942,5929250,5491201,13448494,13448494,5598391,5169174,"892411.7626","0","1","1"
"46","2021A000246","Manitoba",1342153,571528,518054,1278365,1278365,539748,489050,"540310.1887","0","1","0"
"47","2021A000247","Saskatchewan",1132505,513725,449581,1098352,1098352,495582,432622,"577060.4042","0","1","0"
"48","2021A000248","Alberta",4262635,1772670,1633220,4067175,4067175,1654129,1527678,"634658.2668","0","1","1"
"59","2021A000259","British Columbia",5000879,2211694,2041834,4648055,4648055,2063417,1881969,"920686.5544","0","1","1"
"60","2021A000260","Yukon",40232,19610,17181,35874,35874,17987,15215,"472345.4354","0","0","0"
"61","2021A000261","Northwest Territories",41070,17603,15207,41786,41786,17666,14981,"1127711.9175","0","0","0"
"62","2021A000262","Nunavut",36858,11720,9926,35944,35944,11433,9819,"1836993.7767","0","0","0"
